コード,名称,業種,市場
AEZS,エテルナ・ゼンタリス (Aeterna Zentaris Inc),ヘルスケア,Nasdaq
AFG,アメリカン・フィナンシャル・グループ (American Financial Group Inc),金融,NYSE
AFI,アームストロング・フローリング (Armstrong Flooring Inc),素材,NYSE
AFK,VanEck Vectors Africa Index ETF (VanEck Vectors Africa Index ETF),,
AFL,アフラック (AFLAC Inc),金融,S&P500
AFYA,AfyaLtd (Afya Limited),一般消費財,Nasdaq
AG,ファースト・マジェスティック・シルバー (First Majestic Silver Corp),素材,NYSE
AGCO,アグコ (AGCO Corporation),資本財,NYSE
AGEN,アジェナス (Agenus Inc),ヘルスケア,Nasdaq
AGFS,アグロフレッシュ・ソリューションズ (AgroFresh Solutions Inc),素材,Nasdaq
AGG,iShares Core U.S. Aggregate Bond ETF (iShares Core U.S. Aggregate Bond ETF),,
AGGY,WisdomTree Yield Enhanced U.S. Aggregate Bond Fund (WisdomTree Yield Enhanced U.S. Aggregate Bond Fund),,
AGI,アラモス･ゴールド (Alamos Gold Inc),素材,NYSE
AGIO,アギオス・ファーマシューティカルズ (Agios Pharmaceuticals Inc),ヘルスケア,Nasdaq
AGLE,アエグリア・バイオセラピューティクス (Aeglea BioTherapeutics Inc),ヘルスケア,Nasdaq
AGM,フェデラル・アグリカルチュアル・モーゲージ　クラスC (Federal Agricultural Mortgage Corporation),金融,NYSE
AGMH,AGMグループ・ホールディングス (AGM Group Holdings Inc),情報技術,Nasdaq
AGO,アシュアード･ギャランティー (Assured Guaranty Ltd),金融,NYSE
AGR,アバングリッド (Avangrid Inc),公益事業,NYSE
AGRX,アジャイル・セラピューティクス (Agile Therapeutics Inc),ヘルスケア,Nasdaq
AGS,"PlayAGSInc (PlayAGS, Inc)",一般消費財,NYSE
AGTC,アプライド・ジェネティック・テクノロジーズ (Applied Genetic Technologies Corporation),ヘルスケア,Nasdaq
AGX,アルガン (Argan Inc),資本財,NYSE
AGYS,"アジリシス (Agilysys, Inc)",情報技術,Nasdaq
AHC,ＡＨベロ (A.H. Belo Corporation),電気通信,NYSE
AHCO,AdaptHealthCorp (AdaptHealth Corp),ヘルスケア,Nasdaq
AIG,アメリカン・インターナショナル・グループ (American International Group),金融,S&P500
AIH,AestheticMedicalInternatio (Aesthetic Medical International Holdings Group Lim),ヘルスケア,Nasdaq
AIMC,アルトラ・インダストリアル・モーション (Altra Industrial Motion Corp),資本財,Nasdaq
AIN,アルバニー・インターナショナル　クラスA (Albany International Corp),一般消費財,NYSE
AIR,エーエーアール (AAR Corp),資本財,NYSE
AIRG,エアゲイン (Airgain Inc),情報技術,Nasdaq
AIRT,エアー・ティー (Air T Inc),資本財,Nasdaq
AIT,アプライド・インダストリアル・テクノロジーズ (Applied Industrial Technologies Inc),資本財,NYSE
AIZ,アシュラント (Assurant),金融,S&P500
AJG,アーサー・J・ギャラガー (Arthur J. Gallagher & Co.),金融,S&P500
AJRD,エアロジェット・ロケットダイン・ホールディングス (Aerojet Rocketdyne Holdings Inc),資本財,NYSE
AKAM,アカマイ・テクノロジーズ (Akamai Technologies Inc),情報技術,Nasdaq S&P500
AKBA,アケビラ・セラピューティクス (Akebia Therapeutics Inc),ヘルスケア,Nasdaq
AKCA,"アクシア・セラピューティクス (Akcea Therapeutics, Inc)",ヘルスケア,Nasdaq
AKRO,"AkeroTherapeuticsInc (Akero Therapeutics, Inc)",ヘルスケア,Nasdaq
AKTS,"AkoustisTechnologiesInc (Akoustis Technologies, Inc)",情報技術,Nasdaq
AL,エア・リース (Air Lease Corporation),資本財,NYSE
ALB,アルベマール (Albemarle Corp),素材,S&P500
