コード,名称,業種,市場
DSKE,"ダースキー (Daseke, Inc)",資本財,Nasdaq
DSPG,"DSPグループ (DSP Group, Inc)",情報技術,Nasdaq
DT,"DynatraceInc (Dynatrace, Inc)",情報技術,NYSE
DTE,DTEエナジー (DTE Energy Co.),公益事業,S&P500
DTEA,デイビッズティー (DAVIDsTEA Inc),生活必需品,Nasdaq
DTIL,"PrecisionBioSciencesInc (Precision BioSciences, Inc)",ヘルスケア,Nasdaq
DUK,デューク・エナジー (Duke Energy),公益事業,S&P500
DUO,FangddNetworkGroupLtd (Fangdd Network Group Ltd),電気通信,Nasdaq
DUST,Direxion Daily Gold Miners Index Bear 2X Shares (Direxion Daily Gold Miners Index Bear 2X Shares),,
DVA,ダビータ (DaVita Inc.),ヘルスケア,S&P500
DVAX,ダイナバクス・テクノロジーズ (Dynavax Technologies Corporation),ヘルスケア,Nasdaq
DVD,"ドーバー・モータースポーツ (Dover Motorsports, Inc)",一般消費財,NYSE
DVN,デボン・エナジー (Devon Energy),エネルギー,S&P500
DVY,iShares Select Dividend ETF (iShares Select Dividend ETF),,
DXC,DXCテクノロジー (DXC Technology),情報技術,S&P500
DXCM,デクスコム (DexCom),ヘルスケア,Nasdaq
DXJ,WisdomTree Japan Hedged Equity Fund (WisdomTree Japan Hedged Equity Fund),,
DXJS,WisdomTree Japan Hedged SmallCap Equity Fund (WisdomTree Japan Hedged SmallCap Equity Fund),,
DXPE,ディーエックスピー・エンタープライジズ (DXP Enterprises Inc),資本財,Nasdaq
DXR,ダクサー (Daxor Corporation),ヘルスケア,
DY,ダイコム･インダストリーズ (Dycom Industries Inc),資本財,NYSE
DZSI,DASANゾーン・ソリューションズ (DASAN Zhone Solutions Inc),情報技術,Nasdaq
EA,エレクトロニック・アーツ (Electronic Arts),電気通信,Nasdaq S&P500
EAF,グラフテック・インターナショナル (GrafTech International Ltd),資本財,NYSE
EARS,オーリス・メディカル・ホールディング (Auris Medical Holding AG),ヘルスケア,Nasdaq
EAT,ブリンカー・インターナショナル (Brinker International Inc),一般消費財,NYSE
EB,イベントブライト クラスA (Eventbrite Inc),情報技術,NYSE
EBAY,イーベイ (eBay Inc.),一般消費財,Nasdaq S&P500
EBF,エニス (Ennis Inc),資本財,NYSE
EBIX,イービックス (Ebix Inc),情報技術,Nasdaq
EBND,SPDR Bloomberg Barclays Emerging Markets Local Bon (SPDR Bloomberg Barclays Emerging Markets Local Bon),,
EBS,エマージェント・バイオソリューションズ (Emergent BioSolutions Inc),ヘルスケア,NYSE
EBSB,"メリディアン・バンコープ (Meridian Bancorp, Inc)",金融,Nasdaq
EBTC,エンタープライズ・バンコープ (Enterprise Bancorp Inc),金融,Nasdaq
ECA,オビンティブ・カナダ (Ovintiv Inc),エネルギー,NYSE
ECHO,エコ・グローバル・ロジスティクス (Echo Global Logistics Inc),資本財,Nasdaq
ECL,エコラボ (Ecolab Inc.),素材,S&P500
ECOL,ユーエス・エコロジー (US Ecology Inc),資本財,Nasdaq
ECOM,チャンネルアドバイザー (ChannelAdvisor Corporation),情報技術,NYSE
ECPG,アンコール・キャピタル・グループ (Encore Capital Group Inc),金融,Nasdaq
ED,コンソリデーテッド・エジソン (Consolidated Edison),公益事業,S&P500
EDC,Direxion Daily MSCI Emerging Markets Bull 3X Share (Direxion Daily MSCI Emerging Markets Bull 3X Share),,
EDIT,エディタス・メディシン (Editas Medicine Inc),ヘルスケア,Nasdaq
EDSA,"エデサ・バイオテック (Edesa Biotech, Inc)",ヘルスケア,Nasdaq
EDU,ニュー・オリエンタル・エデュケーション・アンド・テクノロジー (New Oriental Education & Technology Group Inc),一般消費財,NYSE
EDUC,エデュケーショナル・ディベロップメント (Educational Development Corporation),電気通信,Nasdaq
EDV,Vanguard Extended Duration Treasury Index Fund ETF (Vanguard Extended Duration Treasury Index Fund ETF),,
EDZ,Direxion Daily MSCI Emerging Markets Bear 3X Share (Direxion Daily MSCI Emerging Markets Bear 3X Share),,
EE,エル・パソ・エレクトリック (El Paso Electric Company),公益事業,NYSE
EEFT,ユーロネット・ワールドワイド (Euronet Worldwide Inc),資本財,Nasdaq
EEM,iShares MSCI Emerging Markets ETF (iShares MSCI Emerging Markets ETF),,
EEMS,iShares MSCI Emerging Markets Small-Cap ETF (iShares MSCI Emerging Markets Small-Cap ETF),,
EEX,"エメラルド・エクスポジションズ・イベンツ (Emerald Holding, Inc)",電気通信,NYSE
EFA,iShares MSCI EAFE ETF (iShares MSCI EAFE ETF),,
EFC,エリントン・ファイナンシャル (Ellington Financial Inc),金融,NYSE
EFSC,エンタープライズ・フィナンシャル・サービシズ (Enterprise Financial Services Corp),金融,Nasdaq
EFX,エクィファクス (Equifax Inc.),資本財,S&P500
EGAN,イーゲイン・コーポレーション (eGain Corporation),情報技術,Nasdaq
EGBN,イーグル・バンコープ (Eagle Bancorp Inc),金融,Nasdaq
EGHT,エイト・バイ・エイト (8x8 Inc),電気通信,NYSE
EGO,エルドラド・ゴールド (Eldorado Gold Corporation),素材,NYSE
EGOV,エヌアイシー (NIC Inc),情報技術,Nasdaq
EGRX,イーグル・ファーマシューティカルズ (Eagle Pharmaceuticals Inc),ヘルスケア,Nasdaq
EGY,バールコ・エナジー (VAALCO Energy Inc),エネルギー,NYSE
EH,EHangHoldingsLtd (EHang Holdings Limited),資本財,Nasdaq
EHC,エンコンパス・ヘルス・コーポレーション (Encompass Health Corporation),ヘルスケア,NYSE
EHTH,"ｅヘルス (eHealth, Inc)",金融,Nasdaq
EIDO,iShares MSCI Indonesia ETF (iShares MSCI Indonesia ETF),,
EIDX,"EidosTherapeuticsInc (Eidos Therapeutics, Inc)",ヘルスケア,Nasdaq
EIG,エンプロイヤーズ・ホールディングス (Employers Holdings Inc),金融,NYSE
EIGI,エンデュランス・インターナショナル・グループ (Endurance International Group Holdings Inc),情報技術,Nasdaq
EIGR,アイガー・バイオファーマシューティカルズ (Eiger BioPharmaceuticals Inc),ヘルスケア,Nasdaq
EIX,エジソン・インターナショナル (Edison Int'l),公益事業,S&P500
EKSO,"エクソ・バイオニクス・ホールディングス (Ekso Bionics Holdings, Inc)",ヘルスケア,Nasdaq
EL,エスティ・ローダー (Estée Lauder Companies),生活必需品,S&P500
ELAN,エランコ・アニマル・ヘルス (Elanco Animal Health Incorporated),ヘルスケア,NYSE
ELD,WisdomTree Emerging Markets Local Debt Fund (WisdomTree Emerging Markets Local Debt Fund),,
ELF,Elfビューティー (e.l.f. Beauty Inc),生活必需品,NYSE
ELY,キャラウェイ・ゴルフ・カンパニー (Callaway Golf Company),一般消費財,NYSE
EMB,iShares J.P. Morgan USD Emerging Markets Bond ETF (iShares J.P. Morgan USD Emerging Markets Bond ETF),,
EMCF,エムクレア・ファイナンシャル (Emclaire Financial Corp),金融,Nasdaq
EME,エムコア・グループ (EMCOR Group Inc),資本財,NYSE
EMKR,エムコア (EMCORE Corporation),情報技術,Nasdaq
EML,イースタン・カンパニー (The Eastern Company),資本財,Nasdaq
EMLC,VanEck Vectors J.P. Morgan EM Local Currency Bond (VanEck Vectors J.P. Morgan EM Local Currency Bond ),,
EMN,イーストマン・ケミカル (Eastman Chemical),素材,S&P500
EMR,エマソン・エレクトリック (Emerson Electric Company),資本財,S&P500
ENB,エンブリッジ (Enbridge Inc),エネルギー,NYSE
ENDP,エンドー・インターナショナル (Endo International plc),ヘルスケア,Nasdaq
ENLV,エンライベックス・セラピューティクス (Enlivex Therapeutics Ltd),情報技術,Nasdaq
ENOB,エノキアン・バイオサイエンシズ (Enochian Biosciences Inc),ヘルスケア,Nasdaq
ENPH,エンフェーズ・エナジー (Enphase Energy Inc),情報技術,Nasdaq
ENR,エナジャイザー・ホールディングス (Energizer Holdings Inc),情報技術,NYSE
ENS,エナーシス (EnerSys),情報技術,NYSE
ENSG,エンサイン・グループ (The Ensign Group Inc),ヘルスケア,Nasdaq
ENT,グローバル・イーグル・エンターテインメント (Global Eagle Entertainment Inc),一般消費財,Nasdaq
ENTA,エナンタ・ファーマシューティカルズ (Enanta Pharmaceuticals Inc),ヘルスケア,Nasdaq
ENTG,エンテグリス (Entegris Inc),情報技術,Nasdaq
ENV,エンベストネット (Envestnet Inc),金融,NYSE
ENVA,"エノバ・インターナショナル (Enova International, Inc)",金融,NYSE
EOG,EOGリソーシズ (EOG Resources),エネルギー,S&P500
EOLS,"EvolusInc (Evolus, Inc)",ヘルスケア,Nasdaq
EPAC,エナパック・ツール・グループ (Enerpac Tool Group Corp),資本財,NYSE
EPAM,イーピーエーエム・システムズ (EPAM Systems Inc),情報技術,NYSE
EPAY,ボトムライン・テクノロジーズ (Bottomline Technologies (de) Inc),情報技術,Nasdaq
EPC,エッジウェル・パーソナル・ケア・カンパニー (Edgewell Personal Care Company),生活必需品,NYSE
EPHE,iShares MSCI Philippines ETF (iShares MSCI Philippines ETF),,
EPI,WisdomTree India Earnings Fund (WisdomTree India Earnings Fund),,
EPIX,ESSAファーマ (ESSA Pharma Inc),ヘルスケア,Nasdaq
EPM,エボリューション・ペトロリアム (Evolution Petroleum Corporation),エネルギー,NYSE
EPOL,iShares MSCI Poland ETF (iShares MSCI Poland ETF),,
EPP,iShares MSCI Pacific ex Japan ETF (iShares MSCI Pacific ex Japan ETF),,
EPZM,エピジーム (Epizyme Inc),ヘルスケア,Nasdaq
EQH,"エクイタブル・ホールディングス (Equitable Holdings, Inc)",金融,NYSE
EQNR,エキノル (Equinor ASA),エネルギー,NYSE
EQT,EQT (EQT Corporation),エネルギー,S&P500
ERF,イナープラス (Enerplus Corporation),エネルギー,NYSE
ERIC,テレフォナクティーボラーゲLMエリクソン (Telefonaktiebolaget LM Ericsson (publ)),情報技術,Nasdaq
ERIE,イリー・インデムニティー・カンパニー クラスA (Erie Indemnity Company),金融,Nasdaq
ERII,エナジー・リカバリー (Energy Recovery Inc),資本財,Nasdaq
ERJ,エンブラエル (Embraer S.A),資本財,NYSE
EROS,エロス・インターナショナル (Eros International Plc),一般消費財,NYSE
ERUS,iShares MSCI Russia Capped ETF (iShares MSCI Russia Capped ETF),,
ERX,Direxion Daily Energy Bull 2X Shares (Direxion Daily Energy Bull 2X Shares),,
ERY,Direxion Daily Energy Bear 2X Shares (Direxion Daily Energy Bear 2X Shares),,
ES,エバーソース・エナジー (Eversource Energy),公益事業,S&P500
ESCA,エスカレード (Escalade Incorporated),一般消費財,Nasdaq
ESE,エスコ・テクノロジーズ (ESCO Technologies Inc),情報技術,NYSE
ESGR,エンスター・グループ (Enstar Group Limited),金融,Nasdaq
ESI,エレメント・ソリューションズ (Element Solutions Inc),素材,NYSE
ESLT,エルビット・システムズ (Elbit Systems Ltd),資本財,Nasdaq
ESNT,エッセント・グループ (Essent Group Ltd),金融,NYSE
ESPR,エスペリオン・セラピューティクス (Esperion Therapeutics Inc),ヘルスケア,Nasdaq
ESSA,イーエスエスエー・バンコープ (ESSA Bancorp Inc),金融,Nasdaq
ESTA,EstablishmentLabsHoldings (Establishment Labs Holdings Inc),ヘルスケア,Nasdaq
ESTC,エラスティック (Elastic N.V),情報技術,NYSE
ETFC,イー・トレード・ファイナンシャル (E*Trade),金融,Nasdaq S&P500
ETH,イーサン・アレン (Ethan Allen Interiors Inc),一般消費財,NYSE
ETM,エンターコム・コミュニケーションズ (Entercom Communications Corp),電気通信,NYSE
ETN,イートン (Eaton Corporation),資本財,S&P500
ETNB,"89bioInc (89bio, Inc)",ヘルスケア,Nasdaq
ETR,エンタジー (Entergy Corp.),公益事業,S&P500
ETRN,EquitransMidstreamCorp (Equitrans Midstream Corporation),エネルギー,NYSE
ETSY,エッツィ (Etsy),一般消費財,Nasdaq
EUDG,WisdomTree Europe Quality Dividend Growth Fund (WisdomTree Europe Quality Dividend Growth Fund),,
EURN,ユーロナブ (Euronav NV),資本財,NYSE
EV,イートン・バンス (Eaton Vance Corp),金融,NYSE
EVBG,エバーブリッジ (Everbridge Inc),情報技術,Nasdaq
EVC,エントラビジョン・コミュニケーションズ クラスA (Entravision Communications Corporation),電気通信,NYSE
EVER,エバー・クオート　クラスA (EverQuote Inc),情報技術,Nasdaq
EVFM,エボフェム・バイオサイエンシズ (Evofem Biosciences Inc),ヘルスケア,Nasdaq
EVH,エボレント・ヘルス　クラスA (Evolent Health Inc),情報技術,NYSE
EVI,"EVIインダストリーズ (EVI Industries, Inc)",資本財,NYSE
EVOK,イボーク・ファーマ (Evoke Pharma Inc),ヘルスケア,Nasdaq
EVOL,エボルビング・システムズ (Evolving Systems Inc),情報技術,Nasdaq
EVOP,EVOペイメンツ　クラスA (EVO Payments Inc),情報技術,Nasdaq
EVR,エバーコア・パートナーズ クラスA (Evercore Inc),金融,NYSE
EVRG,エバジー (Evergy),公益事業,S&P500
EVRI,エブリー・ホールディングス (Everi Holdings Inc),一般消費財,NYSE
EVTC,"エバーテック (EVERTEC, Inc)",情報技術,NYSE
EW,エドワーズ・ライフサイエンス (Edwards Lifesciences),ヘルスケア,S&P500
EWBC,イースト・ウェスト・バンコープ (East West Bancorp Inc),金融,Nasdaq
EWG,iShares MSCI Germany ETF (iShares MSCI Germany ETF),,
EWJ,iShares MSCI Japan ETF (iShares MSCI Japan ETF),,
EWM,iShares MSCI Malaysia ETF (iShares MSCI Malaysia ETF),,
EWS,iShares MSCI Singapore Capped ETF (iShares MSCI Singapore Capped ETF),,
EWT,iShares MSCI Taiwan Capped ETF (iShares MSCI Taiwan Capped ETF),,
EWW,iShares MSCI Mexico Capped ETF (iShares MSCI Mexico Capped ETF),,
EWY,iShares MSCI South Korea Capped ETF (iShares MSCI South Korea Capped ETF),,
EWZ,iShares MSCI Brazil Capped ETF (iShares MSCI Brazil Capped ETF),,
EXAS,イグザクト・サイエンシズ (Exact Sciences Corporation),ヘルスケア,Nasdaq
EXC,エクセロン (Exelon Corp.),公益事業,Nasdaq S&P500
EXEL,エクセリクス (Exelixis Inc),ヘルスケア,Nasdaq
EXI,iShares Global Industrials ETF (iShares Global Industrials ETF),,
EXK,エンデバー・シルバー (Endeavour Silver Corp),素材,NYSE
EXLS,イーエックスエル・サービス・ホールディングス (ExlService Holdings Inc),資本財,Nasdaq
EXP,イーグル・マテリアルズ (Eagle Materials Inc),素材,NYSE
EXPD,エクスペディターズ・インターナショナル・オブ・ワシントン (Expeditors),資本財,Nasdaq S&P500
EXPE,エクスペディア (Expedia Group),一般消費財,Nasdaq S&P500
EXPI,eXpワールド・ホールディングス (eXp World Holdings Inc),不動産,Nasdaq
EXPO,エクスポーネント (Exponent Inc),資本財,Nasdaq
EXPR,エクスプレス (Express Inc),一般消費財,NYSE
EXTR,エクストリーム・ネットワークス (Extreme Networks Inc),情報技術,Nasdaq
EYE,ナショナル・ビジョン・ホールディングス (National Vision Holdings Inc),一般消費財,Nasdaq
EYES,セカンド・サイト・メディカル・プロダクト (Second Sight Medical Products Inc),ヘルスケア,Nasdaq
EYPT,アイポイント・ファーマシューティカルズ (EyePoint Pharmaceuticals Inc),ヘルスケア,Nasdaq
EZA,iShares MSCI South Africa ETF (iShares MSCI South Africa ETF),,
EZPW,イージーコープ クラスA (EZCORP Inc),金融,Nasdaq
F,フォード・モーター (Ford Motor Company),一般消費財,S&P500
FAF,ファースト・アメリカン・フィナンシャル (First American Financial Corporation),金融,NYSE
FANG,ダイアモンドバック・エナジー (Diamondback Energy),エネルギー,Nasdaq
FANH,氾華金控 (Fanhua Inc),金融,Nasdaq
FARM,ファーマー・ブラザーズ (Farmer Bros. Co),生活必需品,Nasdaq
FARO,ファロ・テクノロジーズ (FARO Technologies Inc),情報技術,Nasdaq
FAS,Direxion Daily Financial Bull 3X Shares (Direxion Daily Financial Bull 3X Shares),,
FAST,ファステナル (Fastenal Co),資本財,Nasdaq S&P500
FAT,FATBrandsInc (FAT Brands Inc),一般消費財,Nasdaq
FATE,フェイト・セラピューティクス (Fate Therapeutics Inc),ヘルスケア,Nasdaq
FAZ,Direxion Daily Financial Bear 3X Shares (Direxion Daily Financial Bear 3X Shares),,
FB,"フェイスブック (Facebook, Inc.)",電気通信,Nasdaq S&P500
FBC,フラッグスター・バンコープ (Flagstar Bancorp Inc),金融,NYSE
FBHS,フォーチュン・ブランズ・ホーム・アンド・セキュリティ (Fortune Brands Home & Security),資本財,S&P500
FBIZ,ファーストビジネス・ファイナンシャル・サービシズ (First Business Financial Services Inc),金融,Nasdaq
FBK,ＦＢファイナンシャル (FB Financial Corporation),金融,NYSE
FBM,"ファンデーション・ビルディング・マテリアルズ (Foundation Building Materials, Inc)",資本財,NYSE
FBMS,"ファースト・バンクシェアーズ (The First Bancshares, Inc)",金融,Nasdaq
FBNC,ファースト・バンコープ (First Bancorp),金融,Nasdaq
FBP,ファースト・バンコープ (First BanCorp),金融,NYSE
FC,フランクリン・コビー (Franklin Covey Co),一般消費財,NYSE
FCAP,"ファースト・キャピタル (First Capital, Inc)",金融,Nasdaq
FCAU,フィアット・クライスラー・オートモービルズ (Fiat Chrysler Automobiles N.V),一般消費財,NYSE
FCBC,ファースト・コミュニティー・バンクシェアーズ (First Community Bancshares Inc),金融,Nasdaq
FCBP,FirstChoiceBancorp (First Choice Bancorp),金融,Nasdaq
FCCY,1stコンスティテューション・バンコープ (1st Constitution Bancorp),金融,Nasdaq
FCEL,フュエルセル・エナジー (FuelCell Energy Inc),公益事業,Nasdaq
FCF,ファースト・コモンウェルス・フィナンシャル (First Commonwealth Financial Corporation),金融,NYSE
FCFS,ファースト・キャッシュ・フィナンシャル・サービシズ (FirstCash Inc),金融,NYSE
FCN,エフティーアイ・コンサルティング (FTI Consulting Inc),資本財,NYSE
FCNCA,ファースト・シチズンズ・バンクシェアーズ クラスA (First Citizens BancShares Inc),金融,Nasdaq
FCX,フリーポート・マクモラン (Freeport-McMoRan Inc.),素材,S&P500
FDBC,"FidelityD&DBancorpInc (Fidelity D & D Bancorp, Inc)",金融,Nasdaq
FDP,フレッシュ・デルモンテ・プロデュース (Fresh Del Monte Produce Inc),生活必需品,NYSE
FDS,ファクトセット・リサーチ・システムズ (FactSet Research Systems Inc),金融,NYSE
FDX,フェデックス (FedEx Corporation),資本財,S&P500
FE,ファーストエナジー (FirstEnergy Corp),公益事業,S&P500
FEIM,フレクエンシーエレクトロニクス (Frequency Electronics Inc),情報技術,Nasdaq
FELE,フランクリン・エレクトリック (Franklin Electric Co. Inc),資本財,Nasdaq
FET,フォーラム・エナジー・テクノロジーズ (Forum Energy Technologies Inc),エネルギー,NYSE
FEYE,ファイヤーアイ (FireEye Inc),情報技術,Nasdaq
FEZ,SPDR EURO STOXX 50 ETF (SPDR EURO STOXX 50 ETF),,
FF,フューチャーフュエル (FutureFuel Corp),素材,NYSE
FFBC,ファースト・フィナンシャル・バンコープ (First Financial Bancorp),金融,Nasdaq
FFG,エフビーエル・フィナンシャル・グループ クラスA (FBL Financial Group Inc),金融,NYSE
FFIC,フラッシング・フィナンシャル (Flushing Financial Corporation),金融,Nasdaq
FFIN,ファースト・フィナンシャル・バンクシェアーズ (First Financial Bankshares Inc),金融,Nasdaq
FFIV,F5ネットワークス (F5 Networks),情報技術,Nasdaq S&P500
FFWM,ファースト・ファウンデーション (First Foundation Inc),金融,Nasdaq
FGEN,フィブロジェン (FibroGen Inc),ヘルスケア,Nasdaq
FHB,ファースト・ハワイアン (First Hawaiian Inc),金融,Nasdaq
FHI,"フェデレーテッド・ヘルメス (Federated Hermes, Inc)",,NYSE
FHN,ファースト・ホライゾン・ナショナル (First Horizon National Corporation),金融,NYSE
FIBK,ファースト・インタステート・バンクシステム (First Interstate BancSystem Inc),金融,Nasdaq
FICO,フェア・アイザック (Fair Isaac Corporation),情報技術,NYSE
FINX,Global X FinTech ETF (Global X FinTech ETF),,
FIS,フィデリティ・ナショナル・インフォメーション・サービシズ (Fidelity National Information Services),情報技術,S&P500
FISV,ファイサーブ (Fiserv Inc),情報技術,Nasdaq S&P500
FIT,フィットビット (Fitbit Inc),情報技術,NYSE
FITB,フィフス・サード・バンコープ (Fifth Third Bancorp),金融,Nasdaq S&P500
FIVE,ファイブ・ビロー (Five Below Inc),一般消費財,Nasdaq
FIVN,ファイブ9 (Five9 Inc),情報技術,Nasdaq
FIX,コンフォート・システムズＵＳＡ (Comfort Systems USA Inc),資本財,NYSE
FIXX,ホモロジー・メディシンズ (Homology Medicines Inc),ヘルスケア,Nasdaq
FIZZ,ナショナル・ビバレッジ (National Beverage Corp),生活必需品,Nasdaq
FL,フット・ロッカー (Foot Locker Inc),一般消費財,S&P500
FLDM,フリューダイム (Fluidigm Corporation),ヘルスケア,Nasdaq
FLEX,フレックス (Flex Ltd),情報技術,Nasdaq
FLGT,フルジェント・ジェネティクス (Fulgent Genetics Inc),ヘルスケア,Nasdaq
FLIC,ファースト・オブ・ロング・アイランド (The First of Long Island Corporation),金融,Nasdaq
FLIR,FLIRシステムズ (FLIR Systems),情報技術,Nasdaq S&P500
FLMN,FalconMineralsCorp (Falcon Minerals Corporation),エネルギー,Nasdaq
FLNT,フルーエント (Fluent Inc),一般消費財,Nasdaq
FLO,フラワーズ・フーズ (Flowers Foods Inc),生活必需品,NYSE
FLOW,"SPXフロー (SPX FLOW, Inc)",資本財,NYSE
FLR,フルーア (Fluor Corp.),資本財,S&P500
FLS,フローサーブ (Flowserve Corporation),資本財,S&P500
FLT,フリートコア・テクノロジーズ (FleetCor Technologies Inc),情報技術,S&P500
FLWS,１－８００フラワーズ・ドットコム クラスA (1-800-FLOWERS.COM Inc),一般消費財,Nasdaq
FLXN,フレクシオン・セラピューティクス (Flexion Therapeutics Inc),ヘルスケア,Nasdaq
FLXS,フレックススチール・インダストリーズ (Flexsteel Industries Inc),一般消費財,Nasdaq
FM,iShares MSCI Frontier 100 ETF (iShares MSCI Frontier 100 ETF),,
FMAO,"ファーマーズ&マーチャンツ・バンコープ/オハイオ (Farmers & Merchants Bancorp, Inc)",金融,Nasdaq
FMBH,"ファースト・ミッドイリノイ・バンクシェアーズ (First Mid Bancshares, Inc)",金融,Nasdaq
FMBI,ファースト・ミッドウェスト・バンコープ (First Midwest Bancorp Inc),金融,Nasdaq
FMC,FMC (FMC Corporation),素材,S&P500
FMCI,ForumMergerIICorp (Forum Merger II Corporation),,Nasdaq
FMNB,ファーマーズ・ナショナル・バンク (Farmers National Banc Corp),金融,Nasdaq
FMS,フレゼニウス・メディカル・ケア (Fresenius Medical Care AG & Co. KGaA),ヘルスケア,NYSE
FMX,"フォメント・エコノミコ・メヒカーノ (Fomento Economico Mexicano, S.A.B. de C.V)",生活必需品,NYSE
FN,ファブリネット (Fabrinet),情報技術,NYSE
FNB,エフエヌビー (F.N.B. Corporation),金融,NYSE
FND,フロア・アンド・デコア・ホールディングス クラスA (Floor & Decor Holdings Inc),一般消費財,NYSE
FNF,FNFグループ (Fidelity National Financial Inc),金融,NYSE
FNHC,フェデラル・ナショナル・カンパニー (FedNat Holding Company),金融,Nasdaq
FNKO,"FunkoInc (Funko, Inc)",一般消費財,Nasdaq
FNLC,ファースト・バンコープ (The First Bancorp Inc),金融,Nasdaq
FNV,フランコ・ネバダ (Franco-Nevada Corporation),素材,NYSE
FOCS,FocusFinancialPartnersInc (Focus Financial Partners Inc),金融,Nasdaq
FOE,フェロ (Ferro Corporation),素材,NYSE
FOLD,アミカス・セラピューティクス (Amicus Therapeutics Inc),ヘルスケア,Nasdaq
FONR,フォナー (FONAR Corporation),ヘルスケア,Nasdaq
FOR,フォレスター・グループ (Forestar Group Inc),不動産,NYSE
FORM,フォームファクター (FormFactor Inc),情報技術,Nasdaq
FORR,フォレスター・リサーチ (Forrester Research Inc),資本財,Nasdaq
FOSL,フォッシル・グループ (Fossil Group Inc),一般消費財,Nasdaq
FOX,21世紀フォックス (Fox Corporation (Class B)),電気通信,Nasdaq S&P500
FOXA,21世紀フォックス (Fox Corporation (Class A)),電気通信,Nasdaq S&P500
FOXF,フォックス・ファクトリー・ホールディング (Fox Factory Holding Corp),一般消費財,Nasdaq
FPRX,ファイブ・プライム・セラピューティクス (Five Prime Therapeutics Inc),ヘルスケア,Nasdaq
FRAN,フランチェスカズ・ホールディングス (Francescas Holdings Corporation),一般消費財,Nasdaq
FRBA,ファースト・バンク/ニュージャージー州ハミルトン (First Bank),金融,Nasdaq
FRC,ファースト・リパブリック・バンク (First Republic Bank),金融,NYSE
FREQ,"FrequencyTherapeuticsInc (Frequency Therapeutics, Inc)",ヘルスケア,Nasdaq
FRG,"フランチャイズ・グループ (Franchise Group, Inc)",一般消費財,Nasdaq
FRGI,フィエスタ・レストラン・グループ (Fiesta Restaurant Group Inc),一般消費財,Nasdaq
FRHC,フリーダム・ホールディング/ネバダ (Freedom Holding Corp),金融,Nasdaq
FRO,フロントライン (Frontline Ltd),エネルギー,NYSE
FRPH,FRPホールディングス (FRP Holdings Inc),不動産,Nasdaq
FRPT,フレッシュペット (Freshpet Inc),生活必需品,Nasdaq
FRTA,フォーテラ (Forterra Inc),素材,Nasdaq
FSB,"フランクリン・ファイナンシャル・ネットワーク (Franklin Financial Network, Inc)",金融,NYSE
FSBW,ＦＳバンコープ (FS Bancorp Inc),金融,Nasdaq
FSCT,フォアスカウト・テクノロジーズ (ForeScout Technologies Inc),情報技術,Nasdaq
FSFG,ファースト・セイビングス・ファイナンシャル (First Savings Financial Group Inc),金融,Nasdaq
FSI,フレキシブル・ソリューションズ (Flexible Solutions International Inc),素材,NYSE
FSLR,ファースト・ソーラー (First Solar Inc),情報技術,Nasdaq
FSLY,"FastlyInc (Fastly, Inc)",情報技術,NYSE
FSM,フォルトゥナ・シルバー・マインズ (Fortuna Silver Mines Inc),素材,NYSE
FSS,フェデラル・シグナル (Federal Signal Corporation),資本財,NYSE
FSTR,エルビー・フォスター (L.B. Foster Company),資本財,Nasdaq
FTCH,ファーフェッチ　クラスA (Farfetch Limited),その他,NYSE
FTDR,"フロントドア (frontdoor, inc)",一般消費財,Nasdaq
FTEK,フュエル・テック (Fuel Tech Inc),資本財,Nasdaq
FTI,FMCテクノロジーズ (TechnipFMC),エネルギー,S&P500
FTK,フロテック・インダストリーズ (Flotek Industries Inc),エネルギー,NYSE
FTNT,フォーティネット (Fortinet),情報技術,Nasdaq S&P500
FTS,フォーティス (Fortis Inc),公益事業,NYSE
FTV,フォーティブ (Fortive Corp),資本財,S&P500
FUL,エイチ・ビー・フラー (H.B. Fuller Company),素材,NYSE
FULC,"FulcrumTherapeuticsInc (Fulcrum Therapeutics, Inc)",ヘルスケア,Nasdaq
FULT,フルトン・フィナンシャル (Fulton Financial Corporation),金融,Nasdaq
FUTU,FutuHoldingsLtd (Futu Holdings Limited),金融,Nasdaq
FVCB,"FVCバンクコープ (FVCBankcorp, Inc)",金融,Nasdaq
FVE,ファイブ・スター・シニア・リビング (Five Star Senior Living Inc),ヘルスケア,Nasdaq
FVRR,FiverrInternationalLtd (Fiverr International Ltd),一般消費財,NYSE
FWONA,リバティ・メディア・コーポレーションA・リバティ・フォームラ・ワン (Formula One Group),電気通信,Nasdaq
FWRD,フォワード・エアー・コーポレーション (Forward Air Corporation),資本財,Nasdaq
FXI,iShares China Large-Cap ETF (iShares China Large-Cap ETF),,
GABC,ジャーマン・アメリカン・バンコープ (German American Bancorp Inc),金融,Nasdaq
GAL,SPDR SSgA Global Allocation ETF (SPDR SSgA Global Allocation ETF),,
GALT,ガレクチン・セラピューティクス (Galectin Therapeutics Inc),ヘルスケア,Nasdaq
GATX,ガテックス (GATX Corporation),資本財,NYSE
GBCI,グレーシャー・バンコープ (Glacier Bancorp Inc),金融,Nasdaq
GBL,ガムコ・インベスターズ クラスA (GAMCO Investors Inc),金融,NYSE
GBLI,GlobalIndemnityLtd (Global Indemnity Limited),金融,Nasdaq
GBT,グローバル・ブラッド・セラピューティクス (Global Blood Therapeutics Inc),ヘルスケア,Nasdaq
